#Título,Descripción
Inflación,"Incremento de los precios de una cesta representativa de bienes y servicios en una geografía y durante un periodo de tiempo determinado, comunmente medido a través de una tasa porcentual."
Deflación,Inflación cuando el resultado de su cálculo es negativo. Refleja un descenso observado en el nivel general de precios.
Real vs. nominal,"Las magnitudes monetarias ""nominales"" son las observadas en cada momento temporal, sin ajustes. Las magnitudes denominadas ""reales"" son las que han sido ajustadas para neutralizar el efecto de la inflación a lo largo del tiempo y permitir una comparación de los precios relativos en dos momentos temporales distintos."
Deuda vs déficit,"El déficit de una administración - lo contrario de superávit - es el gasto anual que no puede ser cubierto por los ingresos, y que debe ser pagado mediante préstamos o emitiendo productos financieros como Letras del Tesoro o Bonos. La deuda de una administración es el déficit acumulado a lo largo de los años. Tanto el déficit como la deuda suelen ser medidas como porcentaje sobre el Producto Interior Bruto de la región, para poder comparar los datos de distintas administraciones."
Cómo se clasifica el presupuesto de gasto,"Los gastos del presupuesto se clasifican de acuerdo a tres clasificaciones diferentes:<ul><li>Orgánica: que informa de quien realiza el gasto.</li><li>Por programas, que informa sobre en qué se gasta, es decir, la finalidad del gasto.</li><li>Económica, que informa sobre cómo se gasta, sobre la naturaleza económica del gasto.</li></ul>"
Clasificación funcional,"La clasificación funcional de un presupuesto nos indica cual es el objetivo de un gasto concreto, es decir, distingue entre los gastos relacionados con ""Justicia"" y los que pertenecen a ""Sanidad"". En Canarias esta clasificación es una jerarquía con cuatro niveles, pero los dos principales son Políticas (también llamadas Funciones) y Programas. Existen unas veinte políticas - objetivos de alto nivel como ""Justicia"", ""Sanidad"" o ""Educación"" - y más de cien programas, que concretan las políticas y se ocupan de, por ejemplo, ""Educación Infantil y Primaria"", ""Financiación de las Universidades Canarias"" o ""Asistencia Sanitaria""."
Clasificación económica,"La clasificación económica de un presupuesto nos permite distinguir los gastos e ingresos en función de su naturaleza: ¿es un sueldo o es el recibo de la luz? ¿es una tasa o es una subvención de la Unión Europea?. Esta clasificación es una jerarquía de cuatro niveles (capítulos, artículos, conceptos y subconceptos): así, el Capítulo I de gastos corresponde por ejemplo a ""Gastos de personal"", mientras que el Capítulo VI se refiere a ""Inversiones""."
Clasificación orgánica,"La clasificación orgánica del presupuesto indica qué organismo es el responsable de cada ingreso o gasto. Podemos distinguir en un primer nivel a la Institución (Gobierno de Canarias frente al Servicio Canario de Salud, por ejemplo), y dentro de cada institución a las distintas ""Secciones"" (Consejería de Cultura, Consejería de Empleo...) y Servicios."
Cómo se clasifica el presupuesto de ingresos,"El presupuesto de ingresos se puede clasificar de acuerdo con la siguiente clasificación:<ul><li>Clasificación económica, que presenta la información según la naturaleza económica de los derechos presupuestarios.</li><li>Clasificación orgánica, que informa sobre quien ingresa.</li></ul>"
Presupuesto,"Los presupuestos generales de la comunidad autónoma constituyen la expresión cifrada, conjunta y sistemática de las obligaciones que, como máximo, pueden reconocer los entes que integran el sector público administrativo de la comunidad autónoma, y de las previsiones de los gastos y de las variaciones de activos y pasivos de los entes que integran su sector público empresarial y fundacional, así como de los derechos o los ingresos del conjunto de los entes integrantes del sector público autonómico que se prevean liquidar durante el ejercicio."
Liquidación,"La liquidación de un presupuesto consiste en verificar a lo largo del año, y a posteriori, cuánto dinero se ha ingresado y gastado realmente en cada uno de los apartados del presupuesto, frente a las previsiones iniciales."
Impuesto directo,"Un impuesto directo es aquel que grava las fuentes de ingresos o las propiedades de una persona, como son por ejemplo los impuestos sobre la Renta (IRPF), sucesiones, patrimonio o la contribución."
Impuesto indirecto,"Impuestos indirectos son aquellos que gravan el consumo, bien de forma general (como el IVA), bien para productos específicos como el tabaco o el alcohol."
IRPF,"El IRPF (Impuesto sobre la Renta de las Personas Físicas) es un impuesto personal que grava a las personas físicas residentes en España (es decir, no a las empresas) en función de su renta total durante el año. Es un impuesto progresivo: a mayores ingresos, mayor es el porcentaje a pagar."
Impuesto de Sociedades,"El Impuesto de Sociedades es un impuesto directo aplicado a entidades como empresas, asociaciones o fondos de inversión, y que grava los beneficios obtenidos durante el año fiscal."
Impuestos Especiales,"Son aquellos impuestos indirectos que se aplican a productos y consumos específicos, como pueden ser la gasolina o el tabaco."